iter	Passed	Remaining
477	637	696
478	638	694
479	638	692
480	639	690
481	640	688
482	641	686
483	642	685
484	643	683
485	644	681
486	645	679
487	646	678
488	647	676
489	648	674
490	649	673
491	651	672
492	651	670
493	652	668
494	653	666
495	654	664
496	655	663
497	656	661
498	657	659
499	658	658
500	659	656
501	660	654
502	661	653
503	661	651
504	663	649
505	664	648
506	666	647
507	666	645
508	667	644
509	668	642
510	669	640
511	670	638
512	671	637
513	672	635
514	673	634
515	674	632
516	675	631
517	676	629
518	677	627
519	678	626
520	679	625
521	681	623
522	682	622
523	682	620
524	683	618
525	684	616
526	685	615
527	686	613
528	687	612
529	688	610
530	689	608
531	690	607
532	691	605
533	692	603
534	693	602
535	695	601
536	696	600
537	697	598
538	697	596
539	698	595
540	699	593
541	700	591
542	701	590
543	702	588
544	703	587
545	704	585
546	705	584
547	706	582
548	707	580
549	709	580
550	710	578
551	711	577
552	711	575
553	712	573
554	713	572
555	714	570
556	715	568
557	716	567
558	717	565
559	718	564
560	719	562
561	720	561
562	720	559
563	721	557
564	722	556
565	724	555
566	725	554
567	726	552
568	727	551
569	728	549
570	729	547
571	730	546
572	731	544
573	732	543
574	733	542
575	734	540
576	734	538
577	735	537
578	736	535
579	738	534
580	740	533
581	741	532
582	742	530
583	743	529
584	743	527
585	744	526
586	745	524
587	746	523
588	747	521
589	748	520
590	749	518
591	750	517
592	751	515
593	752	514
594	754	513
595	755	512
596	756	510
597	757	509
598	758	507
599	758	505
600	759	504
601	760	503
602	762	501
603	762	500
604	763	498
605	764	497
606	765	495
607	766	494
608	767	492
609	769	491
610	770	490
611	771	488
612	772	487
613	772	485
614	773	484
615	774	482
616	775	481
617	776	480
618	777	478
619	778	477
620	779	475
621	780	474
622	781	473
623	783	472
624	785	471
625	785	469
626	786	468
627	787	466
628	788	465
629	789	463
630	790	462
631	791	460
632	792	459
633	793	457
634	794	456
635	794	454
636	795	453
637	797	452
638	798	451
639	799	449
640	800	448
641	801	446
642	802	445
643	802	443
644	803	442
645	804	441
646	805	439
647	807	438
648	808	437
649	809	435
650	809	434
651	810	432
652	811	431
653	813	430
654	814	429
655	815	427
656	816	426
657	817	424
658	817	423
659	818	421
660	819	420
661	820	419
662	821	417
663	822	416
664	823	414
665	824	413
666	825	412
667	827	411
668	831	411
669	832	410
670	833	408
671	834	407
672	836	406
673	837	405
674	838	403
675	839	402
676	840	400
677	841	399
678	842	398
679	844	397
680	845	396
681	865	403
682	871	404
683	872	403
684	873	401
685	876	401
686	878	400
687	883	400
688	884	399
689	885	398
690	886	396
691	888	395
692	889	394
693	890	392
694	892	391
695	893	390
696	895	389
697	896	387
698	897	386
699	899	385
700	900	384
701	901	382
702	903	381
703	904	380
704	905	379
705	907	377
706	908	376
707	910	375
708	913	375
709	915	373
710	916	372
711	917	371
712	918	369
713	920	368
714	921	367
715	923	366
716	925	365
717	926	363
718	927	362
719	929	361
720	930	360
721	932	358
722	933	357
723	935	356
724	936	355
725	938	354
726	940	353
727	942	352
728	945	351
729	946	350
730	948	349
731	950	348
732	951	346
733	952	345
734	953	343
735	954	342
736	958	341
737	959	340
738	960	339
739	962	338
740	964	337
741	965	335
742	967	334
743	968	333
744	970	332
745	971	330
746	973	329
747	974	328
748	976	327
749	977	325
750	978	324
751	981	323
752	982	322
753	983	320
754	984	319
755	986	318
756	988	317
757	989	315
758	990	314
759	991	313
760	994	312
761	996	311
762	998	310
763	999	308
764	1000	307
765	1002	306
766	1003	304
767	1004	303
768	1006	302
769	1009	301
770	1010	300
771	1012	299
772	1013	297
773	1015	296
774	1016	295
775	1017	293
776	1019	292
777	1020	291
778	1021	289
779	1022	288
780	1023	287
781	1025	285
782	1026	284
783	1027	283
784	1028	281
785	1029	280
786	1031	279
787	1032	277
788	1035	276
789	1036	275
790	1037	274
791	1038	272
792	1039	271
793	1040	270
794	1042	268
795	1043	267
796	1044	265
797	1045	264
798	1048	263
799	1049	262
800	1051	261
801	1052	259
802	1053	258
803	1054	257
804	1055	255
805	1056	254
806	1057	252
807	1058	251
808	1059	250
809	1061	248
810	1063	247
811	1064	246
812	1065	245
813	1066	243
814	1067	242
815	1070	241
816	1071	239
817	1072	238
818	1073	237
819	1074	235
820	1076	234
821	1078	233
822	1079	232
823	1081	230
824	1082	229
825	1083	228
826	1084	226
827	1085	225
828	1086	224
829	1087	222
830	1088	221
831	1090	220
832	1092	219
833	1094	217
834	1095	216
835	1096	215
836	1097	213
837	1098	212
838	1099	210
839	1100	209
840	1101	208
841	1102	206
842	1103	205
843	1104	204
844	1105	202
845	1107	201
846	1108	200
847	1110	198
848	1111	197
849	1112	196
850	1113	194
851	1114	193
852	1115	192
853	1116	190
854	1117	189
855	1118	188
856	1120	186
857	1122	185
858	1124	184
859	1125	183
860	1126	181
861	1127	180
862	1128	179
863	1129	177
864	1130	176
865	1131	175
866	1132	173
867	1133	172
868	1134	171
869	1136	169
870	1138	168
871	1139	167
872	1140	165
873	1141	164
874	1142	163
875	1143	161
876	1144	160
877	1145	159
878	1146	157
879	1146	156
880	1147	155
881	1148	153
882	1150	152
883	1152	151
884	1154	149
885	1155	148
886	1156	147
887	1157	145
888	1158	144
